#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	2519.63
firstFrontCount	1
frontCount	75
avgEvalTime	396.713
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
262945	453.838	0.134447	0.922038	0.629712	18778.6	35.0648	59.2193	8.70255	392.337	0	0	
292978	87.2304	0.961181	0.96145	0.485668	82025.2	22.7698	47.9585	8.41015	395.423	0	0	
258441	480.151	0.652626	0.132141	0.842147	94059.4	71.0862	78.1966	7.20193	584.818	0	0	
178445	331.184	0.177763	0.735441	0.0411962	34923.1	14.1554	18.7419	7.7642	100000	0	0	
238966	165.379	0.941218	0.131001	0.439969	44340.3	78.8965	81.568	3.30811	1439	0	0	
197953	228.337	0.643387	0.738428	0.749593	34842.3	71.1732	68.9588	3.13828	631.573	0	0	
123800	254.198	0.950549	0.406347	0.583562	30143.1	77.614	32.9586	5.5417	664.651	0	0	
239815	446.543	0.950106	0.592494	0.145852	23436.5	33.1757	85.6646	3.77998	3340.89	0	0	
262857	129.327	0.920678	0.414985	0.202663	32597.5	65.444	52.596	4.46162	2622.19	0	0	
266166	296.779	0.548729	0.925474	0.290122	78148	77.8356	44.2401	5.97475	442.517	0	0	
115171	36.4356	0.530182	0.801251	0.92533	21691.6	61.1941	52.2452	2.08331	386.206	0	0	
167425	89.4693	0.788399	0.380094	0.527962	24908.4	64.1784	33.6674	6.57855	100000	0	0	
237843	376.594	0.451531	0.175439	0.234397	92200.4	23.714	84.3235	5.7684	687.723	0	0	
299227	48.306	0.443825	0.195987	0.95266	10417.1	79.7419	83.5573	8.08086	904.698	0	0	
116887	205.893	0.264673	0.820062	0.432786	91958.3	26.3662	33.7423	3.01877	205.877	0	0	
127214	435.953	0.57811	0.594874	0.152056	86772.8	65.985	41.5857	5.59275	383.295	0	0	
180362	47.2237	0.245118	0.210987	0.19023	31595.7	47.554	14.4689	8.31901	100000	0	0	
288957	250.523	0.489468	0.403947	0.892053	43232.2	20.0082	80.2227	4.72817	501.381	0	0	
148338	207.917	0.104525	0.218776	0.93321	96052.1	61.7688	15.3802	3.64346	640.853	0	0	
170632	412.385	0.0250954	0.138721	0.17561	68420.4	75.855	68.2971	5.15647	806.052	0	0	
209402	155.197	0.739799	0.27006	0.68304	26516	43.1636	66.3057	7.46159	438.113	0	0	
116225	465.399	0.770198	0.538112	0.437141	50210.5	37.5715	55.7658	5.5754	502.649	0	0	
263526	399.467	0.641432	0.440748	0.805349	57954.3	41.5654	94.5101	8.1316	408.053	0	0	
210031	315.013	0.585304	0.286968	0.305221	52383.1	30.7439	85.9878	3.36335	997.323	0	0	
145184	93.6469	0.233111	0.492129	0.31488	93104.2	48.7187	26.6335	8.33417	933.452	0	0	
295950	225.046	0.118897	0.332258	0.410545	63540.6	33.5991	64.2559	6.97851	401.617	0	0	
144349	67.5346	0.300742	0.3869	0.425683	55707.2	17.6964	33.6234	7.6071	100000	0	0	
105844	465.139	0.725724	0.539748	0.576955	31355.5	51.2964	96.678	5.82764	491.945	0	0	
204227	123.481	0.48912	0.661654	0.675553	45596.4	43.0693	98.9184	2.26417	664.754	0	0	
277034	457.511	0.79026	0.188841	0.266634	40182.1	71.1755	22.2898	7.04859	100000	0	0	
121352	330.341	0.49429	0.801147	0.710736	91334.9	90.183	40.0747	6.89122	236.412	0	0	
139562	24.9651	0.739193	0.55002	0.480324	91425	64.888	65.59	8.0161	753.136	0	0	
261098	292.594	0.189264	0.315939	0.878782	12580.7	54.0911	25.1134	8.85076	100000	0	0	
242539	255.231	0.471667	0.153657	0.678332	13818.8	16.4301	56.9485	2.67711	1128.33	0	0	
263630	410.598	0.717991	0.234879	0.656413	56673.5	97.5677	68.4092	7.60231	602.327	0	0	
190760	221.872	0.818808	0.175123	0.140508	25605	45.1844	84.8242	7.62355	1460.94	0	0	
112094	205.636	0.526338	0.47512	0.653723	66517.6	36.2786	48.8486	2.10841	373.532	0	0	
296813	91.9125	0.114092	0.435169	0.204156	54071.9	40.5544	95.6467	8.44232	418.182	0	0	
110535	371.55	0.273737	0.480552	0.546913	94846.3	47.597	98.4747	4.11018	272.104	0	0	
240220	336.506	0.538344	0.728295	0.663197	26031.9	21.5213	99.9172	3.19785	717.589	0	0	
106520	284.988	0.874229	0.702258	0.196625	43202.5	51.4653	98.3474	3.09483	1097.29	0	0	
271105	325.935	0.378747	0.271831	0.429688	53382	20.855	63.0557	3.58331	762.41	0	0	
176924	295.663	0.25677	0.361397	0.614749	33875.3	84.1939	98.4397	7.11174	450.29	0	0	
168775	296.194	0.115614	0.915677	0.872061	83598.5	33.4655	63.4921	2.15759	286.652	0	0	
185052	163.232	0.168255	0.26089	0.424428	18480.6	63.8671	52.3832	6.87165	100000	0	0	
239978	322.88	0.0429318	0.161925	0.323208	57777.8	68.9001	46.6857	7.73987	583.137	0	0	
243672	484.638	0.530707	0.392631	0.113517	64986.3	80.0922	48.1108	2.63576	1208.24	0	0	
153294	85.2918	0.285385	0.496077	0.5266	51168.2	88.7834	56.6247	8.60536	100000	0	0	
227542	479.27	0.245893	0.70851	0.293283	70462.7	72.5626	16.1193	3.78353	442.874	0	0	
144808	337.238	0.837504	0.410016	0.774909	70779.9	10.6044	64.1953	4.7074	408.532	0	0	
283198	10.564	0.4632	0.481914	0.461698	79314.4	39.0225	80.6265	5.2995	1069.56	0	0	
107153	96.1785	0.717323	0.526137	0.159667	40701.2	64.665	27.2571	7.16899	100000	0	0	
148570	459.538	0.27368	0.78895	0.194889	35874.8	18.2002	61.8588	6.78354	385.261	0	0	
209319	218.607	0.641554	0.682856	0.675436	67220.8	95.0657	28.8041	6.96497	337.762	0	0	
147246	68.5042	0.605158	0.505124	0.459551	69575	79.3257	41.5196	6.63407	453.25	0	0	
183232	422.545	0.826258	0.330797	0.611192	62402.4	58.6665	88.2947	3.85345	962.059	0	0	
163615	68.4151	0.931033	0.680997	0.479874	67538.5	59.0244	68.258	5.8072	414.433	0	0	
244209	266.023	0.983831	0.296809	0.113682	19872.8	15.7232	46.4122	5.13861	6798.6	0	0	
173163	384.117	0.625338	0.794782	0.924196	97546.7	27.2826	22.4987	6.87386	247.302	0	0	
118764	267.448	0.529737	0.875026	0.485156	45411.1	70.4288	76.7132	5.64037	309.955	0	0	
169543	83.4987	0.58437	0.335931	0.053565	77944	31.8507	49.8162	6.81457	642.837	0	0	
171846	370.807	0.396813	0.715074	0.699966	49807.5	11.762	39.7772	4.97017	360.071	0	0	
154054	106.556	0.815287	0.486929	0.880016	45206.5	79.2203	45.7112	7.6596	100000	0	0	
251015	194.924	0.221699	0.811366	0.940318	39480.9	70.4138	49.478	7.8345	299.658	0	0	
253771	91.9542	0.854741	0.990885	0.514135	89585.3	62.9223	23.9277	3.39904	576.77	0	0	
181391	376.866	0.819072	0.810967	0.322154	58065.8	18.0956	20.0535	2.95405	846.306	0	0	
235730	252.637	0.195916	0.545505	0.154656	14947.7	86.5641	60.4504	8.50726	524.351	0	0	
239333	295.568	0.809089	0.891113	0.979133	10047	87.8895	65.131	8.92965	586.374	0	0	
205536	244.966	0.795321	0.305059	0.498132	91076.7	61.7195	86.066	7.17048	445.072	0	0	
217197	130.9	0.663088	0.175135	0.623441	69485	75.6777	90.1677	8.87612	603.74	0	0	
253806	294.909	0.919747	0.622081	0.0266433	20877.4	87.644	53.5867	7.91399	4681.84	0	0	
141881	280.623	0.627286	0.128792	0.612419	42617	14.4579	54.0613	3.34757	640.181	0	0	
124617	110.692	0.153585	0.270165	0.0517994	67167.8	35.368	58.4737	6.86614	552.389	0	0	
199823	272.543	0.44628	0.211539	0.49055	86769.8	88.6535	34.3265	3.45923	742.416	0	0	
212996	323.753	0.418688	0.285378	0.938974	17386.4	19.5138	22.7837	3.16522	742.605	0	0	
224192	291.118	0.0610363	0.938081	0.724088	76405.7	15.7064	87.4397	8.54084	225.217	0	0	
296880	430.88	0.779848	0.56204	0.18405	45873.1	22.0538	12.7801	8.57399	100000	0	0	
160261	154.812	0.336278	0.520361	0.645234	12270.5	85.7986	60.3129	7.9787	100000	0	0	
169576	228.553	0.0631547	0.259397	0.659552	39774.6	90.8638	20.634	8.91893	100000	0	0	
207996	356.39	0.989502	0.359064	0.416232	51835.6	78.7561	83.6384	2.70155	2499.84	0	0	
135623	186.221	0.0655706	0.569697	0.339132	25810.2	28.8052	91.4638	6.72774	367.472	0	0	
193694	456.945	0.111931	0.770991	0.731542	60567.5	26.5775	63.749	4.09956	351.387	0	0	
126825	114.175	0.887043	0.164308	0.247637	14837.9	49.755	11.1955	8.28034	100000	0	0	
139332	55.7516	0.31122	0.510452	0.109636	99585.1	39.8884	36.7612	2.43432	464.033	0	0	
159649	32.7121	0.50532	0.785283	0.628449	18090.2	17.2776	79.9516	8.33594	100000	0	0	
206754	63.4856	0.819293	0.404288	0.298094	77168.2	10.9303	14.3603	6.67541	100000	0	0	
220694	267.79	0.725115	0.736528	0.77575	35917.9	72.3279	60.1003	4.77565	572.942	0	0	
